cid,text,time,author,channel,votes,photo,heart,reply,time_parsed
Ugw7nNeXML2qnVKZ4al4AaABAg,Berawal dari kata 2 Minggu Sampai jadi 2 tahun,8 bulan yang lalu,@alfins7292,UC3dWanB5HgnWOhMiQyQ_COw,3,https://yt3.ggpht.com/ytc/AGIKgqNwZM-BJPa0yFHHBtEEsHv0jWL5reYcJsCF1Swb8w=s176-c-k-c0x00ffffff-no-rj,false,false,1660472177.859596
UgwRhQ0hbywxC9a7HCN4AaABAg,2minggu menjadi 2tahun,10 bulan yang lalu,@Doeng52,UCWsrnf3NohpaHRj4vefQ4ZA,0,https://yt3.ggpht.com/FaYytxhlpkW-NDv-TxAHJzn0nReSguqn8mMkVFR_b5GCixgIxfH_ASYOHDnkZHg8_S7Qa5EaoA=s176-c-k-c0x00ffffff-no-rj,false,false,1655201777.864727
UgwQ9EqizYTYffeon3Z4AaABAg,P,10 bulan yang lalu,@Doeng52,UCWsrnf3NohpaHRj4vefQ4ZA,1,https://yt3.ggpht.com/FaYytxhlpkW-NDv-TxAHJzn0nReSguqn8mMkVFR_b5GCixgIxfH_ASYOHDnkZHg8_S7Qa5EaoA=s176-c-k-c0x00ffffff-no-rj,false,false,1655201777.870248
Ugz8JT7NnkL6m_QkM-t4AaABAg,Hari ini adalah 16 Maret tepat 2 tahun lalu pemerintah menetapkan libur 14 hari(yang nyatanya sampai 2 tahun),1 tahun yang lalu,@daffa3593,UCMKktfglWc6jmrHaUVtpWug,4,https://yt3.ggpht.com/2H8nrBMe91DOQpe7Zxc-gG4SZ5St5uaNyROFKyklZ4T_4DmubkoQQ_IgCQCXIh1S_9qS9E_hjQ=s176-c-k-c0x00ffffff-no-rj,false,false,1649931377.873721
UgwvEFF-5wKa9zGd8sd4AaABAg,"udah 2 tahun ini.. kapan masuk lagi yaah, tapi aku udah keburu kuliah :((",1 tahun yang lalu,@riniwidyastuti142,UCs3Hj3Dp4kGUEHDRtVQ8nig,1,https://yt3.ggpht.com/ytc/AGIKgqOP_HWN1fiz40fLYTSFQJSn7EyyxWFuZITa-li6iA=s176-c-k-c0x00ffffff-no-rj,false,false,1649931377.876757
Ugw5VfKpZHzTEtm61RJ4AaABAg,Saya dari tahun 2022 last comment dapet uang 💰💰,1 tahun yang lalu,@levi9731,UCVHZIL1bP9EXs-mIKxsMADw,1,https://yt3.ggpht.com/ytc/AGIKgqP6T08hoAoDU7sTbdajunmSRFEDxkF9rFn3RsxW=s176-c-k-c0x00ffffff-no-rj,false,false,1649931377.880027
Ugym0sKXZpuqvH6lmlF4AaABAg,Pak saya lebih Suka Belajar daring daripada tatap muka gak😩,1 tahun yang lalu,@tedirushendar1320,UCINRIIRWLkmSVsQqjcxAdIQ,1,https://yt3.ggpht.com/F22huVNG2ScX3YrppMU3-lPNlgT-Tyiyfc9YiY1DOlWqBnzuZTCq9Azqraa_xqyFeWjE1ITG=s176-c-k-c0x00ffffff-no-rj,false,false,1649931377.883861
UgzY8DOq4VOBBE9HckV4AaABAg,Pak saya mohon sekolah daring ajah Sampe 2024 agar kasus pembulian Di sekolah hilang,1 tahun yang lalu,@tedirushendar1320,UCINRIIRWLkmSVsQqjcxAdIQ,0,https://yt3.ggpht.com/F22huVNG2ScX3YrppMU3-lPNlgT-Tyiyfc9YiY1DOlWqBnzuZTCq9Azqraa_xqyFeWjE1ITG=s176-c-k-c0x00ffffff-no-rj,false,false,1649931377.887527
UgyWBwgDrXmIgX9CWrd4AaABAg,Tapi daring banyak membingungkan kebanyakan tugas doang.bikin penyakit Corona versi kebanyakan tugas.,1 tahun yang lalu,@viyonalatin22,UCdDSDsLMTsiL-RTlqaDU45w,0,https://yt3.ggpht.com/ytc/AGIKgqMoX8fDqZX8cfweFo4IJL0hIBjDksAh2hdnDevrrw=s176-c-k-c0x00ffffff-no-rj,false,false,1649931377.890651
Ugw-zvLPeoV-xzYIEKt4AaABAg,Yes libur panjang,2 tahun yang lalu,@erlanggahanandaputra7833,UCbofBpT_z7o8Bcwig2bSUBA,0,https://yt3.ggpht.com/ytc/AGIKgqM2T3H8UKdvozpzB-21wmfsr9VWpjRkFxyI8TpM=s176-c-k-c0x00ffffff-no-rj,false,false,1618395377.893932
UgxEPu5YHKIZsJ98dxN4AaABAg,"dari 2021, dan keadaan masih sama..",2 tahun yang lalu,@natalikasekar,UCeQc7qRomgoQQBc4fEuLcuA,0,https://yt3.ggpht.com/I8qSEJ2789pE70c44BiyyTEDica6Gdms1kHjBMfyPYbGB2X4HlyI31UO4c7TtzasIcG_3AFPug=s176-c-k-c0x00ffffff-no-rj,false,false,1618395377.896887
UgxrtUco7xO9iEL7wuV4AaABAg,"dan sa










dan saya kerjakan secara berhati 2tapi terkadang ngang bisa menjawab tapi aku sering menangis tapi saya lanjutkan terus  tapi aku di bantu bilang anti pelecehan tapi  terkadan aku lupa  aku  bilang ya jatuh cinta karena aku terasa nyaman dalam vesbiukan  tapi cita


Ku mau mewujudkan Jogja. bersinar lagi dan bersemi kembali itu cita2ku dan ahkirya di bantu melalui belajar lebih baik melalui Vidio televisi radio",2 tahun yang lalu,@supartinah4821,UCJEq5fKpx-HAgrNfEmhch_A,1,https://yt3.ggpht.com/ytc/AGIKgqOJZKoFdkoBEw9zuVQvrlsh2Fve8yFxjunESw=s176-c-k-c0x00ffffff-no-rj,false,false,1618395377.90007
UgyMk9u2iSYViqF2fGJ4AaABAg,HAAAAAA,2 tahun yang lalu,@abdulhakimjunsyah6312,UC81M22AEtlJVegCS_41E2Sw,0,https://yt3.ggpht.com/ytc/AGIKgqPi2GCf4l4ZtE_8Nuli_64RgvzRChDa9pnZb7z8fQ=s176-c-k-c0x00ffffff-no-rj,false,false,1618395377.905514
Ugz0UNomRIw9ayAyJDB4AaABAg,Sakarep mu dewek,2 tahun yang lalu,@jundujundi4884,UChKP2w6h8p5yIaFtNNm-XnQ,0,https://yt3.ggpht.com/ytc/AGIKgqNaanGiB7w94IuGBBKiSUSsLsblqQdMaeVt1Q=s176-c-k-c0x00ffffff-no-rj,false,false,1618395377.910284
Ugxv0TkezeXYjGuSvqR4AaABAg,ASN*aparatur,2 tahun yang lalu,@resmiarniazmi4850,UCRhbqHD6B2Xkvm8kelRtXNQ,0,https://yt3.ggpht.com/ytc/AGIKgqMydy_78qxasGz-z3sfrZ-NunWWiAsVdKZ8TyTabA=s176-c-k-c0x00ffffff-no-rj,false,false,1618395377.913371
UgwNR-_DClUhVopYSfd4AaABAg,"sangar ya emang dunia investasi tapi ane sih udah serahin urusan investasi ke P2PInvasia jadi gak perlu ribet buat cari tempat investasi dan memang menguntunkan sih disana tu, makanya aku rekomendasiin buat kalian yang masih bingung bisa kesana ajaa",2 tahun yang lalu,@baehyunpark1340,UCNcUrB5UdUmCxPk8Abfu0Zw,1,https://yt3.ggpht.com/ytc/AGIKgqP2kthduqWamf6-fzVA2_d1YBgnoIxeC44XFY9H=s176-c-k-c0x00ffffff-no-rj,false,false,1618395377.916619
UgwgQ0cNDfa7KKTHzPl4AaABAg,"Jangan cuma menghimbau Pak. Buat Peraturan. Lalu sweeping kekantor kantor.
Manusia indonesia itu kalo engga dipaksa pada ngebadeg semua,Susah diatur.

Kalau pada susah diatur mau berapa tahun virus ini bisa selesai. Kalo dipaksa dirumah paling 3 bulan udah selesai (belajar dari kondisi Wuhan) 

Yang mampu(kaya) masih aman karna punya materil buat menghadapi ini jika berlarut larut. 

Yang kurang mampu gimana?? Bisa mati konyol kalo terlalu lama. 
Kena virus engga, justru banyak yang mati karna stress. 

Anak libur sekolah
Orang tua masih keluar bekerja.
Samimawon..
Yang ada nanti anak anak diseluruh indonesia jadi anak yatim piatu.

Paksa sedikit agar kondisi bisa cepat berlalu. Agar masyarakat bisa membangun lagi hidupnya sendiri",3 tahun yang lalu (diedit),@dedeismanto1995,UClQVSTD0mAraToAiHUzp_0w,0,https://yt3.ggpht.com/ytc/AGIKgqOpjj908MhRtYLq6m7XnufAmrbf80768GIrajMoTQ=s176-c-k-c0x00ffffff-no-rj,false,false,1586859377.920324
UgyTh-C85C4K2BYIvYF4AaABAg,"Yg kerja dirumah bisa saja dilakukan bagi para pns atau orang yg punya usaha rumahan/ home producksi. Tapi klu yg biasa kerja di luar atau dilapangan ya nggak mungkin bisa. Seharusnya himbauan pemerintah jgn sekedar himbauan saja tapi harus dibarengi tindakan yg nyata paling tidak ya ada blt/ bantuan langsung tunai atau non tunai. Klu pns ngantor nggak ngantor tetep gajian, tapi orang2 yg pekerja harian lepas nggak mungkin bisa klu di suruh diam di rumah. Nggak segampang yg di ucaokan bung. Masyarakat indonesia tdk semuanya punya usaha di rumah ataupun jadi pns. Yg merasa mampu sudah saatnya mbantu yg kurang mampu dan jangan komen yg sifatnya meledek ataupun komen bekerja dari rumah saja. Keadaan tidak se enak yg di ucapkan",3 tahun yang lalu,@samsungpbun3344,UClFDnnQuILHw-ct7NxTZaug,0,https://yt3.ggpht.com/ytc/AGIKgqNJCkCZxKHzhN5hE76rdy1PvpCA2pYu8hQR2w=s176-c-k-c0x00ffffff-no-rj,false,false,1586859377.923211
UgzNxoLLFZ6gRFaJ9Th4AaABAg,Pak kami para perkerja barbershoop harus gimana pak..mau ikutin pemerintah salah mau ikutin sop barber salah ..kita kerja langsung berhadap**an dengan castermer pak..,3 tahun yang lalu,@rizky2834,UCI5IvoKfOH4YwW0-9mcyFkA,0,https://yt3.ggpht.com/8VvcV6vm3_kqGjLqyoJUpYMPSnT7GLUs5rmOn0hqc5ntxFG7F7I03Yye9kUQDfA3kY5dnG110A=s176-c-k-c0x00ffffff-no-rj,false,false,1586859377.926534
UgxHjEqhU8zQexK5kKt4AaABAg,Bagaimana klou seperti saya pekerjaanya cuman dekor tèrop dan sond pernikahan. Inih ajah jop pernokhan semuanya d batalkan. Apah lagi sebentar lagi udah bullan puasah kita dpat penghasillan dari mna klou enggak kerjah,3 tahun yang lalu,@rudyartel7890,UC225B0rUPaXPJcD2jx13_Rg,0,https://yt3.ggpht.com/ytc/AGIKgqNwmnPjsQD1y8zK38sRafD8cDZP35FBTNfSFvtNjw=s176-c-k-c0x00ffffff-no-rj,false,false,1586859377.930021
Ugz8JT7NnkL6m_QkM-t4AaABAg.9Zblx94rXho9ZmXhX3z5Tj,"Nggak kerasa banget😢, Padahal kayak baru kemarin 😭😭",1 tahun yang lalu,@anggarajanetwork,UC7djmu65PYld5wI4iznE6PQ,1,https://yt3.ggpht.com/fv7oqaZW6xY23wQe7deSnjSfJvNvgmOOpY_8V6yWXRfIk_K4MbnXm3S6ooxJh5d5sWbUrPoZMMs=s176-c-k-c0x00ffffff-no-rj,false,true,1649931378.237719
